06-11	Paula, Barnabas, Alice, Udo
06-12	Guido, Leo III., Florinda
06-13	Antonius v.P., Bernhard
06-14	Hartwig, Meinrad
06-15	Veit, Lothar, Gebhard, Bernhard
06-16	Benno, Luitgard, Quirin, Julietta
06-17	Adolf, Volker, Alena
06-18	Elisabeth, Ilsa, Marina, Isabella
06-19	Juliana, Romuald
06-20	Adalbert, Florentina, Margot
06-21	Alois, Aloisia, Alban, Ralf
06-22	Rotraud, Thomas M.
06-23	Edeltraud, Ortrud, Marion
06-24	Johannes d.T., Reingard
06-25	Eleonora, Ella, Dorothea, Doris
06-26	David, Konstantin, Vigil., Paul
06-27	Hemma, Heimo, Cyrill, Daniel
06-28	Harald, Ekkehard, Irenäus, Senta
06-29	Peter u. Paul, Gero
06-30	Otto, Bertram, Ehrentrud
07-01	Dietrich, Aaron, Theobald, Regina
07-02	Mariä Heimsuchg, Wiltrud, Jakob
07-03	Thomas Ap., Ramon, Ramona
07-04	Ulrich, Berta, Elisabeth, Else
07-05	Albrecht, Kira, Letizia
07-06	Marietta G., Goar, Isaias
07-07	Willibald, Edda, Firmin
07-08	Kilian, Amalia, Edgar
07-09	Veronika, Hermine, Hannes
07-10	Knud, Engelbert, Raphael, Sascha
07-11	Olga, Oliver, Benedikt
07-12	Siegbert, Henriette, Felix, Eleonore
07-13	Heinrich, Sarah, Arno
07-14	Roland, Camillo, Goswin
07-15	Bonaventura, Egon, Björn
07-16	Carmen, Irmgard
07-17	Gabriella, Charlotte
07-18	Arnulf, Ulf, Friedrich
07-19	Marina, Reto, Bernold
07-20	Margaretha, Greta, Elias
07-21	Daniel, Daniela, Stella, Julia
07-22	Magdalena, Marlene, Verena
07-23	Birgitta, Birgit, Liborius
07-24	Christoph, Sieglinde, Luise
07-25	Jakob d.Ä., Valentina
07-26	Anna u. Joachim, Gloria
07-27	Rudolf, Rolf, Pantaleon, Natalie, Berthold
07-28	Adele, Ada, Innozenz, Benno
07-29	Martha, Olaf, Ladislaus, Flora
07-30	Ingeborg, Inga, Petrus C.
07-31	Ignatius, Joseph v. Ar., Herrmann
08-01	Alfons, Kenneth, Peter F., Uwe
08-02	Eusebius, Adriana, Julian, Julan
08-03	Lydia, August, Nikodemus
08-04	Johannes M.V., Rainer, Reinhard
08-05	Oswald, Maria Schnee
08-06	Christi Verklärung, Gilbert
08-07	Cajetan, Afra, Albert
08-08	Dominik, Cyriak, Elgar
08-09	Edith, Altmann, Roman
08-10	Laurenz, Lars, Astrid
08-11	Klara, Philomena, Donald
08-12	Radegunde, Innozenz XI., Andreas
08-13	Hippolyt, Marko, Cassian
08-14	Meinhard, Maximilian K.
08-15	Mariä Himmelfahrt, Steven
08-16	Stefan, Rochus, Alfried, Stephanie
08-17	Gudrun, Hyazinth, Janine, Clara
08-18	Helena, Rainald, Claudia
08-19	Sebald, Johann E., Julius, Bert
08-20	Bernhard, Bernd, Ronald, Samuel
08-21	Pius X., Maximilian, Pia
08-22	Regina, Maria Regina, Sigfried
08-23	Rosa, Isolde, Zachäus
08-24	Bartholomäus, Michaela, Isolde
08-25	Ludwig, Elvira, Ebba, Patricia
08-26	Patricia, Miriam, Teresa, Margarita
08-27	Monika, Gebhard, Vivian
08-28	Augustin, Adelinde, Aline, Vivian
08-29	Johannes Enthauptung, Beatrice
08-30	Felix, Heribert, Rebekka, Alma
08-31	Raimund, Aidan, Paulinus, Anja
09-01	Verena, Ruth, Ägidius
09-02	Ingrid, René, Salomon, Franz
09-03	Gregor, Silvia, Phoebe, Sonja
09-04	Rosalie, Ida, Iris, Irmgard, Sven
09-05	Roswitha, Urs, Hermine
09-06	Magnus, Gundolf, Bertram, Beate
09-07	Regina, Otto, Ralph
09-08	Mariä Geburt, Adrian, Otmar
09-09	Otmar, Edgar, Pedro Cl.
09-10	Diethard, Isabella, Carlo, Niels
09-11	Helga, Felix u. Regula, Louis
09-12	Maria Namen, Gerfried
09-13	Notburga, Tobias, Johann.
09-14	Kreuzerhöhung, Albert, Jens
09-15	Dolores, Melitta, Melissa
09-16	Ludmilla, Cornelius
09-17	Hildegard, Robert, Ariane
09-18	Lambert, Herlinde, Rica
09-19	Wilhelmine, Januarius, Thorsten
09-20	Hertha, Eustach., Candida, Susanna
09-21	Matthäus, Deborah, Jonas
09-22	Mauritius, Emmeram, Gundula
09-23	Linus, Thekla, Gerhild
09-24	Rupert, Virgil, Gerhard
09-25	Klaus, Serge, Irmfried
09-26	Kosmas, Damian, Cosima
09-27	Vinzenz, Hiltrud, Dietrich
09-28	Wenzel, Lioba, Giselher
09-29	Michael, Michaela, Gabriel, Gabriela, Gabi
09-30	Hieronymus, Urs, Victor
10-01	Remigius, Theresia v.L., Werner, Andrea, Emanuel
10-02	Schutzengelfest, Gideon, Bianca, Jacqueline
10-03	Ewald, Udo, Bianca, Paulina
10-04	Franz v.A., Edwin, Aurora, Emma, Thea
10-05	Herwig, Meinolf, Gallina
10-06	Bruno, Adalbero, Melanie, Brunhild, Gerald
10-07	Rosa Maria, Justina, Jörg, Denise, Marc
10-08	Günther, Laura, Hannah, Gerda
10-09	Sibylle, Sara, Dionys, Elfriede
10-10	Viktor, Samuel, Gereon, Valerie
10-11	Alexander, Manuela, Georg
10-12	Maximilian, Horst, Pilár, David
10-13	Koloman, Edward, Andre
10-14	Burkhard, Calixtus, Alan, Otilie
10-15	Theresia v.A., Aurelia, Franziska
10-16	Hedwig, Gallus, Gordon, Carlo
10-17	Rudolf, Marie-Louise, Adelheid
10-18	Lukas, Gwenn, Justus, Viviana
10-19	Frieda, Frida, Isaak, Paul v. K.
10-20	Wendelin, Ira, Irina, Jessica
10-21	Ursula, Ulla, Celina, Holger
10-22	Cordula, Salome, Ingbert
10-23	Johannes C., Severin, Uta
10-24	Anton, Armella, Alois, Aloisia, Victoria
10-25	Ludwig, Lutz, Darja, Hans
10-26	Amand., Albin, Wieland, Anastacia, Josephine
10-27	Sabina, Wolfhard, Christa, Stefan
10-28	Simon u. J. Thaddäus, Freddy
10-29	Ermelinda, Melinda, Franco, Grete
10-30	Dieter, Alfons, Angelo, Sabine
10-31	Wolfgang, Quentin, Melanie
11-01	Allerheiligen, Harald
11-02	Allerseelen, Angela
11-03	Hubert, Pirmin, Martin P., Silvia
11-04	Karl, Karla, Modesta, Charles
11-05	Emmerich, Zacharias, Hardy
11-06	Leonhard, Christine, Nina
11-07	Engelbert, Carina, Willibr., Tina
11-08	Gottfried, Willehad, Karina
11-09	Theodor, Herfried, Roland, Gregor
11-10	Leo, Andrea, Andreas, Jens, Ted
11-11	Martin, Senta, Mennas, Leonie
11-12	Christian, Kunibert
11-13	Eugen, Stanislaus, Livia, Rene
11-14	Sidonia, Nikolaus T., Karl
11-15	Leopold, Leopoldine, Albert, Nikolaus
11-16	Margarita, Otmar, Arthur
11-17	Gertrud, Hilda, Florin, Walter
11-18	Odo, Alda, Roman, Bettina
11-19	Elisabeth, Bettina, Lisa, Roman
11-20	Edmund, Corbinian, Felix, Elisabetz
11-21	Amalie, Amelia, Rufus, Edmund
11-22	Cäcilia, Silja, Salvator, Rufus
11-23	Clemens, Detlef, Columb., Salvator
11-24	Flora, Albert, Chrysogon, Clemens
11-25	Katharina, Kathrin, Katja, Jasmin
11-26	Konrad, Kurt, Anneliese
11-27	Uta, Brunhilde, Albrecht, Ida
11-28	Berta, Jakob, Albrecht
11-29	Friedrich, Friederike, Berta
11-30	Andreas, Andrea, Volkert, Kerstin
12-01	Blanka, Natalie, Eligius
12-02	Bibiana, Lucius, Jan
12-03	Franz Xaver, Jason
